dates,bets
2023-02-01,0.011003241
2023-02-02,0.6500000000000005
2023-02-03,4.784999999999921
2023-02-04,3.85999999999994
2023-02-05,1.079999999999999
2023-02-06,0.9400000000000007
2023-02-07,0.2100000000000001
2023-02-08,0.10500000000000002
2023-02-09,0.09000000000000001
2023-02-10,3.114999999999997
2023-02-11,2.6499999999999986
2023-02-12,12.250000000000039
2023-02-13,13.600000000000056
2023-02-14,4.99999999999999
2023-02-15,4.6499999999999915
2023-02-16,18.050000000000118
2023-02-17,9.049999999999994
2023-02-18,3.349999999999996
2023-02-19,9.600000000000001
2023-02-20,33.300000000000246
2023-02-21,13.150000000000052
2023-02-22,4.049999999999994
2023-02-23,10.25000000000001
2023-02-24,7.149999999999983
2023-02-25,3.049999999999997
2023-02-26,9.55
2023-02-27,6.5999999999999845
2023-02-28,17.600000000000115
2023-03-01,8.949999999999992
2023-03-02,2.3
2023-03-03,8.349999999999984
2023-03-04,3.899999999999994
2023-03-05,6.0499999999999865
2023-03-06,2.499999999999999
2023-03-07,1.900000000000001
2023-03-08,10.100000000000009
2023-03-09,2.000000000000001
2023-03-10,2.849999999999998
2023-03-11,1.950000000000001
2023-03-12,6.249999999999986
2023-03-13,1.2000000000000004
2023-03-14,4.799999999999991
2023-03-15,4.149999999999993
2023-03-16,28.6312500000001
2023-03-17,69.0499999999997
2023-03-18,124.69999999999888
2023-03-19,114.2249999999997
2023-03-20,140.09999999999752
2023-03-21,94.04999999999906
2023-03-22,156.84999999999945
2023-03-23,72.29999999999907
2023-03-24,49.34999999999994
2023-03-25,11.550000000000006
2023-03-26,67.74999999999972
2023-03-27,22.950000000000056
2023-03-28,38.25000000000013
2023-03-29,85.24999999999872
2023-03-30,83.08124999999939
2023-03-31,42.150000000000055
2023-04-01,98.68749999999838
2023-04-02,291.74375000000714
2023-04-03,485.7562500000232
2023-04-04,379.5187500000166
2023-04-05,316.4625000000123
2023-04-06,482.48125000002636
2023-04-07,565.7687500000237
