dates,interactions,users
2023-02-01,2,1
2023-02-02,130,7
2023-02-03,962,33
2023-02-04,778,20
2023-02-05,216,4
2023-02-06,188,3
2023-02-07,42,4
2023-02-08,21,2
2023-02-09,18,2
2023-02-10,65,7
2023-02-11,53,7
2023-02-12,247,43
2023-02-13,272,32
2023-02-14,100,11
2023-02-15,93,13
2023-02-16,361,23
2023-02-17,181,20
2023-02-18,67,18
2023-02-19,193,32
2023-02-20,671,52
2023-02-21,265,33
2023-02-22,82,13
2023-02-23,205,31
2023-02-24,144,11
2023-02-25,62,5
2023-02-26,193,18
2023-02-27,132,19
2023-02-28,352,17
2023-03-01,179,14
2023-03-02,46,6
2023-03-03,167,16
2023-03-04,78,11
2023-03-05,121,12
2023-03-06,50,12
2023-03-07,38,13
2023-03-08,202,16
2023-03-09,40,13
2023-03-10,57,9
2023-03-11,39,7
2023-03-12,125,20
2023-03-13,24,6
2023-03-14,96,10
2023-03-15,83,11
2023-03-16,314,29
2023-03-17,727,47
2023-03-18,925,31
2023-03-19,841,42
2023-03-20,1551,75
2023-03-21,907,49
2023-03-22,1975,91
2023-03-23,899,38
2023-03-24,645,44
2023-03-25,202,44
2023-03-26,395,36
2023-03-27,279,36
2023-03-28,384,49
2023-03-29,699,29
2023-03-30,682,34
2023-03-31,400,33
2023-04-01,991,45
2023-04-02,3976,122
2023-04-03,4523,134
2023-04-04,3357,115
2023-04-05,2769,84
2023-04-06,5201,184
2023-04-07,5785,201
2023-04-08,5192,149
2023-04-09,2400,89
2023-04-10,3112,117
2023-04-11,3430,123
2023-04-12,3273,141
2023-04-13,2162,111
2023-04-14,1819,118
2023-04-15,2132,108
2023-04-16,2262,81
2023-04-17,1141,95
2023-04-18,1119,76
2023-04-19,1653,77
2023-04-20,886,56
2023-04-21,1397,78
2023-04-22,1907,77
2023-04-23,1181,71
2023-04-24,1398,55
2023-04-25,1788,65
2023-04-26,1075,82
2023-04-27,1619,64
2023-04-28,1938,63
2023-04-29,731,45
2023-04-30,1258,43
2023-05-01,945,70
2023-05-02,1641,103
2023-05-03,1013,44
2023-05-04,308,44
2023-05-05,568,37
2023-05-06,800,47
2023-05-07,787,33
2023-05-08,424,37
2023-05-09,813,32
2023-05-10,684,32
2023-05-11,501,25
2023-05-12,464,30
2023-05-13,824,32
2023-05-14,486,25
2023-05-15,561,26
2023-05-16,359,29
2023-05-17,400,43
2023-05-18,513,23
2023-05-19,377,29
2023-05-20,354,24
2023-05-21,264,15
2023-05-22,233,21
2023-05-23,332,24
2023-05-24,253,27
2023-05-25,305,22
2023-05-26,378,22
2023-05-27,513,20
2023-05-28,592,24
2023-05-29,448,20
2023-05-30,425,20
2023-05-31,469,19
2023-06-01,373,7
2023-06-02,434,15
2023-06-03,484,18
2023-06-04,537,16
2023-06-05,424,12
2023-06-06,332,13
2023-06-07,384,17
2023-06-08,505,13
2023-06-09,292,10
2023-06-10,281,9
2023-06-11,275,7
2023-06-12,315,9
2023-06-13,337,8
